fecha	archivo	algoritmo	nulos	tipo_umbral	num.trees	vmin.node.size	umbral_promedio	ganancia_promedio	tiempo_promedio	ganancias	umbrales				
20170312 224942	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	3000.00	0.03133333	1513333.00	9.235128	1230833.00	1710000.00	1599167.00	25.00	38.00	31.00
20170312 222930	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	1000.00	44.00	1513056.00	7.958585	1359167.00	1664167.00	1515833.00	37.00	41.00	54.00
20170312 230216	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	300.00	0.03125	1509722.00	10.40096	1255000.00	1638333.00	1635833.00			
20170312 222609	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	3000.00	0.03533333	1504722.00	7.365155	1287500.00	1709167.00	1517500.00	32.00	43.00	31.00
20170312 222432	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	5000.00	29.00	1484722.00	7.186118	983333.3	1877500.00	1593333.00	24.00	29.00	34.00
20170312 223108	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	800.00	47.00	1482500.00	7.560178	1542500.00	1615833.00	1289167.00	47.00	32.00	62.00
20170312 223452	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	500.00	0.03125	1453889.00	7.530467	1151667.00	1799167.00	1410833.00			
20170312 225934	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	600.00	0.04833333	1450000.00	10.53701	1181667.00	1524167.00	1644167.00	53.00	54.00	38.00
20170312 230624	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	100.00	0.03125	1436389.00	10.71129	1321667.00	1394167.00	1593333.00			
20170312 223138	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	700.00	0.03125	1398611.00	7.294387	1249167.00	1420833.00	1525833.00			
20170312 230957	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	50.00	0.05333333	1398333.00	11.21835	1390833.00	1367500.00	1436667.00	56.00	53.00	51.00
20170312 223421	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	600.00	0.04266667	1388056.00	7.600705	1352500.00	1284167.00	1527500.00	57.00	36.00	35.00
20170312 223631	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	300.00	0.03125	1382778.00	7.545032	1270000.00	1417500.00	1460833.00			
20170312 223314	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	600.00	0.03125	1376389.00	7.245989	1302500.00	1428333.00	1398333.00			
20170312 224606	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	10000.00	0.03	1350000.00	8.168174	1362500.00	1150000.00	1537500.00	36.00	26.00	28.00
20170312 224102	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	100.00	0.05833333	1340000.00	7.736384	1447500.00	1287500.00	1285000.00	73.00	41.00	61.00
20170312 234626	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	50.00	0.03125	1333333.00	16.9259	1087500.00	1348333.00	1564167.00			
20170312 223920	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	200.00	0.04433333	1300833.00	7.821123	1090000.00	1491667.00	1320833.00	45.00	39.00	49.00
20170312 223811	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	200.00	0.03125	1285278.00	7.593427	1174167.00	1557500.00	1124167.00			
20170312 223739	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	300.00	0.05366667	1265278.00	7.68052	1104167.00	1333333.00	1358333.00	38.00	51.00	72.00
20170312 231208	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	20.00	0.07	1197778.00	10.85092	1123333.00	1190833.00	1279167.00	56.00	0.1	54.00
20170312 222259	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	10000.00	0.02766667	1196389.00	6.890541	1075833.00	1183333.00	1330000.00	32.00	26.00	25.00
20170312 223952	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	100.00	0.03125	1158889.00	7.683337	1077500.00	1189167.00	1210000.00			
20170312 224243	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	50.00	73.00	1109722.00	7.824491	1145833.00	951666.7	1231667.00	0.06	91.00	68.00
20170312 230830	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	50.00	0.03125	1100000.00	10.53637	882500.00	1151667.00	1265833.00			
20170312 234927	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	20.00	20.00	0.03125	977500.00	18.62662	727500.00	915833.3	1289167.00			
20170312 231040	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	20.00	0.03125	822222.2	11.52485	559166.7	962500.00	945000.00			
20170312 224426	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	20.00	62.00	810555.6	7.867978	780833.3	932500.00	718333.3	71.00	61.00	54.00
20170312 224133	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	50.00	0.03125	741944.4	7.740413	903333.3	505000.00	817500.00			
20170312 224314	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	20.00	0.03125	583888.9	7.735113	358333.3	605000.00	788333.3			
