resultados/ganancia_ranger.0-50.tsv:20170313 001932	umbral_estimado	50.00	800.00	0.04	1847500.00	35.89	1702500.00	1917500.00	1922500.00	42.00	36.00	28.00
resultados/ganancia_ranger.1.tsv:20170313 001932	umbral_estimado	50.00	800.00	0.04	1847500.00	35.89	1702500.00	1917500.00	1922500.00	0.04	0.04	0.03
resultados/ganancia_ranger.0-50.tsv:20170312 231641	umbral_estimado	20.00	5000.00	0.03	1847500.00	13.48	1640833.00	2084167.00	1817500.00	28.00	28.00	34.00
resultados/ganancia_ranger.1.tsv:20170312 231641	umbral_estimado	20.00	5000.00	0.03	1847500.00	13.48	1640833.00	2084167.00	1817500.00	0.03	0.03	0.03
resultados/ganancia_ranger.800.2.tsv:20170317 130308	umbral_estimado	800.00	1000.00	0.04	1845556.00	546.41	1564167.00	2114167.00	1858333.00	0.03	0.04	0.04
resultados/ganancia_ranger.200.tsv:20170314 161758	umbral_fijo	200.00	50.00	0.03	1845278.00	136.86	1575833.00	2092500.00	1867500.00			
resultados/ganancia_ranger.200.tsv:20170314 162958	umbral_estimado	200.00	50.00	0.05	1844722.00	150.07	1680833.00	1882500.00	1970833.00	0.04	0.07	0.04
resultados/ganancia_ranger.100.tsv:20170313 222825	umbral_estimado	100.00	3000.00	0.03	1843889.00	64.69	1710000.00	1980833.00	1840833.00	34.00	27.00	0.03
resultados/ganancia_ranger.800.4.tsv:20170318 012944	umbral_fijo	800.00	50.00	0.03	1838889.00	529.13	1620833.00	2075000.00	1820833.00			
resultados/ganancia_ranger.0-50.tsv:20170312 231733	umbral_fijo	20.00	3000.00	0.03	1837222.00	14.51	1515833.00	2126667.00	1869167.00			
resultados/ganancia_ranger.1.tsv:20170312 231733	umbral_fijo	20.00	3000.00	0.03	1837222.00	14.51	1515833.00	2126667.00	1869167.00			
resultados/ganancia_ranger.100.tsv:20170313 221921	umbral_estimado	100.00	5000.00	28.00	1834444.00	60.06	1688333.00	2033333.00	1781667.00	28.00	26.00	0.03
resultados/ganancia_ranger.0-50.tsv:20170313 000600	umbral_fijo	50.00	2000.00	0.03	1831389.00	32.95	1559167.00	2122500.00	1812500.00			
resultados/ganancia_ranger.1.tsv:20170313 000600	umbral_fijo	50.00	2000.00	0.03	1831389.00	32.95	1559167.00	2122500.00	1812500.00			
resultados/ganancia_ranger.100.tsv:20170313 235443	umbral_estimado	100.00	100.00	41.00	1829444.00	66.04	1675000.00	1813333.00	2000000.00	36.00	0.05	37.00
resultados/ganancia_ranger.100.tsv:20170313 221109	umbral_estimado	100.00	10000.00	0.03	1828889.00	48.41	1697500.00	2080833.00	1708333.00	27.00	27.00	29.00
resultados/ganancia_ranger.500.1.tsv:20170314 175507	umbral_estimado	500.00	5000.00	0.03	1827500.00	275.17	1727500.00	1905000.00	1850000.00	0.03	0.03	0.03
resultados/ganancia_ranger.0-50.tsv:20170313 000412	umbral_estimado	50.00	3000.00	0.03	1827500.00	30.76	1683333.00	1935000.00	1864167.00	0.03	27.00	33.00
resultados/ganancia_ranger.1.tsv:20170313 000412	umbral_estimado	50.00	3000.00	0.03	1827500.00	30.76	1683333.00	1935000.00	1864167.00	0.03	0.03	0.03
resultados/ganancia_ranger.800.4.tsv:20170318 031800	umbral_estimado	800.00	20.00	0.07	1826389.00	503.32	1528333.00	1828333.00	2122500.00	0.08	0.05	0.06
resultados/ganancia_ranger.800.4.tsv:20170318 010233	umbral_estimado	800.00	100.00	0.04	1825000.00	547.09	1635000.00	1922500.00	1917500.00	0.03	0.05	0.04
resultados/ganancia_ranger.800.2.tsv:20170317 140921	umbral_estimado	800.00	800.00	0.04	1824167.00	505.89	1547500.00	2005833.00	1919167.00	0.03	0.05	0.04
resultados/ganancia_ranger.0-50.tsv:20170312 232019	umbral_fijo	20.00	2000.00	0.03	1822778.00	16.76	1500833.00	2094167.00	1873333.00			
resultados/ganancia_ranger.1.tsv:20170312 232019	umbral_fijo	20.00	2000.00	0.03	1822778.00	16.76	1500833.00	2094167.00	1873333.00			
resultados/ganancia_ranger.0-50.tsv:20170313 000116	umbral_fijo	50.00	3000.00	0.03	1822222.00	31.26	1573333.00	2019167.00	1874167.00			
